"L_bankssts_surfavg","L_caudalanteriorcingulate_surfavg","L_caudalmiddlefrontal_surfavg","L_cuneus_surfavg","L_entorhinal_surfavg","L_fusiform_surfavg","L_inferiorparietal_surfavg","L_inferiortemporal_surfavg","L_isthmuscingulate_surfavg","L_lateraloccipital_surfavg","L_lateralorbitofrontal_surfavg","L_lingual_surfavg","L_medialorbitofrontal_surfavg","L_middletemporal_surfavg","L_parahippocampal_surfavg","L_paracentral_surfavg","L_parsopercularis_surfavg","L_parsorbitalis_surfavg","L_parstriangularis_surfavg","L_pericalcarine_surfavg","L_postcentral_surfavg","L_posteriorcingulate_surfavg","L_precentral_surfavg","L_precuneus_surfavg","L_rostralanteriorcingulate_surfavg","L_rostralmiddlefrontal_surfavg","L_superiorfrontal_surfavg","L_superiorparietal_surfavg","L_superiortemporal_surfavg","L_supramarginal_surfavg","L_frontalpole_surfavg","L_temporalpole_surfavg","L_transversetemporal_surfavg","L_insula_surfavg","R_bankssts_surfavg","R_caudalanteriorcingulate_surfavg","R_caudalmiddlefrontal_surfavg","R_cuneus_surfavg","R_entorhinal_surfavg","R_fusiform_surfavg","R_inferiorparietal_surfavg","R_inferiortemporal_surfavg","R_isthmuscingulate_surfavg","R_lateraloccipital_surfavg","R_lateralorbitofrontal_surfavg","R_lingual_surfavg","R_medialorbitofrontal_surfavg","R_middletemporal_surfavg","R_parahippocampal_surfavg","R_paracentral_surfavg","R_parsopercularis_surfavg","R_parsorbitalis_surfavg","R_parstriangularis_surfavg","R_pericalcarine_surfavg","R_postcentral_surfavg","R_posteriorcingulate_surfavg","R_precentral_surfavg","R_precuneus_surfavg","R_rostralanteriorcingulate_surfavg","R_rostralmiddlefrontal_surfavg","R_superiorfrontal_surfavg","R_superiorparietal_surfavg","R_superiortemporal_surfavg","R_supramarginal_surfavg","R_frontalpole_surfavg","R_temporalpole_surfavg","R_transversetemporal_surfavg","R_insula_surfavg"
905,541,3089,2028,524,3269,5734,3978,1125,5806,3206,3619,1882,3578,618,1597,1941,905,1544,2029,4379,1636,5583,4555,1033,6470,9479,6209,3960,3827,276,576,446,2831,983,679,2703,2022,562,3637,6149,4120,861,5025,3411,3672,1965,3909,540,1957,1781,850,2021,1929,4130,1574,5758,4848,804,6303,9204,6313,3740,4264,361,548,325,2519
942,586,1906,1209,461,2798,5012,3075,1126,5198,2411,2677,1673,3000,579,1410,1699,611,1574,1162,3915,1093,4662,3699,602,3844,6135,4840,3532,3774,210,480,429,2190,1173,470,1805,1495,462,2819,5918,2995,974,4618,2267,2917,1762,3708,535,1578,1682,796,1709,1335,4196,963,4628,4098,338,3886,6327,4692,3731,3109,253,530,322,2328
1070,669,2366,1534,556,3325,5041,3435,1010,5106,3008,2935,1711,3352,691,1375,2028,760,1923,1261,4047,1258,5039,4341,818,5616,7622,5701,4301,3829,239,400,505,2677,934,613,2077,1589,453,3372,5432,3443,898,4732,2592,3200,1978,3526,654,1746,1428,1005,2021,1551,4053,1349,5469,4617,550,6004,7058,5994,3548,4115,304,436,301,2661
1063,725,2976,1563,495,3922,4825,3463,1158,5516,2723,2769,2053,4055,782,1555,1277,709,1187,1665,4319,1305,5360,4628,908,5988,8686,6196,4191,6298,253,508,443,2571,795,663,2774,1876,560,3204,6953,3505,1091,5137,2710,3577,2370,4254,844,1632,1318,925,1562,1859,4217,1180,5430,5093,485,6178,7803,6615,4170,4655,258,518,362,2679
1348,578,2330,1525,566,3377,5340,3467,1195,6235,3168,3508,2155,3811,792,1630,2188,726,1689,1433,4293,1176,5385,4941,1032,6135,7958,6841,4442,5144,267,454,458,2955,1169,790,1908,1774,379,3183,6592,3064,1199,5196,2988,3600,2369,4163,743,1907,1720,966,2093,1800,4223,1580,4971,5448,577,6177,7567,6765,4004,4136,323,545,385,2318
907,626,2006,1454,530,3171,4756,3589,1008,4156,2478,2845,1765,3388,632,1123,1767,772,1192,1445,3733,1136,4681,3431,726,6292,7510,5337,3899,4823,204,499,428,2162,1152,615,1649,2091,451,2931,4627,3016,957,5817,2466,2934,1957,4032,631,1231,1154,866,1514,1450,3810,978,4206,3744,466,6353,7031,5870,3858,4103,315,363,252,2394
1216,461,2613,1276,382,3164,4927,3937,1164,5811,2307,3249,1637,3725,640,1478,1304,711,1132,1208,4224,1045,4678,4830,652,5090,7291,6831,3848,4381,255,454,408,1848,847,573,1995,1639,316,3047,6211,3699,1012,5844,2353,3701,1778,3896,633,1616,1234,942,1435,1248,3721,1325,4707,4349,421,5112,6620,6275,3716,4117,314,423,302,2127
1497,1047,2655,2005,380,3686,5658,3681,1206,5909,3110,3800,2078,3689,660,1476,1797,766,1524,1742,4896,1556,5176,4357,941,7373,7953,5947,4923,4465,204,383,657,2475,1127,714,2572,2077,452,3814,7234,3960,1059,5819,3379,3770,2048,4096,678,1651,1575,1040,1762,1816,4341,1412,5301,4591,606,7043,8143,6568,4125,3794,310,500,317,2375
1054,578,1929,1258,465,3194,4031,3281,871,5030,2744,2854,1878,3147,651,1513,1765,660,1210,1409,4017,1120,4341,3746,932,4885,7274,4747,4166,3709,267,500,472,2369,989,844,1842,1335,349,2568,4810,2948,925,4683,2420,2857,2053,3781,566,1580,1416,781,1579,1545,3691,1560,4452,3784,560,5347,6562,4876,4194,3958,333,487,371,2418
962,718,3117,1581,479,3966,4622,3650,1073,5509,3039,3021,2132,3809,644,1416,1826,613,1603,1459,4609,1423,5352,4995,822,6108,8353,6241,5210,4481,268,460,597,2876,1028,963,2511,1466,402,3585,6172,3821,1048,5076,2606,2847,2190,4447,812,2017,1327,955,1742,1341,4952,1371,5482,5143,780,6092,7860,6082,4685,4368,308,454,373,2521
940,548,2314,1580,453,2825,4235,3367,1106,4478,2623,3177,1577,3480,622,1250,1836,700,1367,1187,3892,1299,4884,3752,651,5415,7002,5710,4322,5457,232,450,421,2684,922,780,2148,1470,442,2687,5173,3810,960,4531,2911,2679,1801,3838,620,1369,1335,742,1369,1422,3905,1238,4907,3870,714,5478,6605,5351,3933,4661,282,468,334,2205
1367,568,2157,1500,374,3338,5323,3358,1108,5212,3024,3735,1736,3271,712,1541,2498,874,1525,1773,4623,1231,5353,4625,765,6377,7133,6607,4307,4176,256,433,543,2895,901,778,1974,1986,305,3655,6384,3396,989,5661,2936,3581,2220,3642,743,1695,1821,970,2072,1946,4381,1414,4948,4370,609,6634,6369,5837,3759,3672,355,433,320,2333
1286,745,2310,1245,525,3161,4957,3482,1302,5004,3305,2439,2148,3002,779,1603,1618,769,1608,1138,4176,1520,5218,4450,949,7072,8745,6731,4415,4495,315,525,541,2318,955,907,2500,1651,477,3380,5491,4127,881,5012,2659,2393,2062,4058,659,1944,1539,948,2025,1242,4058,1738,4800,4700,768,7743,8470,5969,4367,3954,306,495,399,2468
1389,528,2143,1374,658,3103,5219,3754,1129,5317,2640,3251,1835,3606,816,1122,2051,584,1562,1111,4259,1072,4440,3605,756,5287,6907,5160,4223,4777,234,484,494,2476,989,668,2098,1301,416,3984,5886,3474,936,5234,2884,2573,1926,3621,797,1211,1582,857,1653,1394,4115,1063,4836,3701,564,5761,6062,5589,4327,4496,306,483,377,2342
1123,679,3011,1285,479,3081,5062,3439,1451,4646,3046,2560,1739,3252,704,1344,1749,706,1563,1353,4126,1170,4776,4457,1109,5626,8332,6519,3821,4494,231,447,467,2650,988,645,1866,1461,400,3071,6242,3524,837,4729,2763,2735,2209,3713,555,1531,1559,973,1696,1631,4035,1171,4485,4289,663,6122,8459,5453,3994,3733,331,506,359,2517
1236,758,3098,1738,554,3591,5111,3680,1335,4708,3056,2392,2245,3209,788,1695,1717,882,1491,1274,4435,1373,5809,5061,972,6334,8535,6189,4667,4122,252,526,622,2598,924,689,2314,2103,409,3654,5593,3492,1151,4863,3025,2848,2185,3676,609,1717,1841,964,1675,1607,4154,1429,5819,5678,739,6144,7869,5813,4413,3599,316,455,490,2556
1135,720,3004,1511,573,2898,3851,3583,1047,4150,2213,3128,1896,2879,717,1217,1353,620,1295,1391,3932,1274,5271,4591,956,6049,7676,6268,3798,5114,285,516,389,2321,932,839,2404,1552,458,3282,5940,3654,829,5108,2190,2956,2110,3320,534,1472,1216,804,1756,1493,3676,1245,4674,4898,681,6817,6550,5959,3163,3281,339,400,292,2266
1133,799,2887,1635,468,3649,5412,4187,1342,6183,3268,3528,1684,3652,813,1508,1671,874,1757,1951,4967,1637,6268,5052,1126,6911,8993,8245,4558,4655,244,524,505,3076,1258,760,3288,1849,556,3605,7379,3789,1017,6326,3627,3755,1999,4305,712,1508,1787,968,1677,1641,4184,1379,5598,6083,927,6830,8739,7581,4338,4498,284,515,391,2506
823,418,2153,1581,539,2932,4378,3611,1089,5492,2163,2452,1465,2796,678,1411,1549,649,1571,1121,4133,1073,4851,4356,490,6041,7361,6207,3862,4593,234,519,390,2544,851,824,2035,1271,436,3232,6219,3433,967,5060,2143,2489,1670,3481,555,1323,1396,738,1613,1249,3930,1273,4873,4101,732,5036,6029,5981,3163,3400,238,465,281,2444
951,536,2166,1642,400,3269,3651,3117,1111,5026,2108,3093,1315,2986,580,1270,1577,579,1230,1510,3620,1135,4374,3864,811,4859,6373,5007,3232,3884,267,420,358,1910,848,854,2253,1608,374,2803,5010,3119,962,4824,2153,3340,1507,3349,551,1393,1475,744,1520,1572,3530,1310,4322,3968,585,4437,5960,5366,3225,3235,309,423,293,1884
914,557,1879,1893,448,3555,4420,4047,1112,6807,2594,3200,2121,3520,811,1538,1458,699,1384,1716,4088,1229,5383,3796,528,6089,8570,5287,4733,3812,282,491,628,2111,899,808,1530,1662,494,4155,5930,3831,1086,6590,2752,3280,1980,3762,630,1397,1454,877,1456,1463,4010,1161,5320,4113,696,6171,7270,5223,4288,3753,326,497,371,2267
938,643,2554,1551,462,3475,4676,3006,911,5178,2573,2208,1761,2705,659,1031,1432,674,1251,1392,3639,1001,4676,3615,833,5877,7069,6139,4099,4057,279,450,466,2319,975,562,2450,1503,557,3020,4715,3225,900,4029,2313,2546,1971,3257,625,1419,1351,675,1342,1496,4386,1074,4847,3913,492,5281,7476,6069,3493,4326,258,475,331,2186
1111,480,2734,1785,712,3708,6000,3756,1317,6809,3292,3868,2513,4068,706,1668,2225,850,1531,1693,5042,1194,6118,4915,850,6187,9202,6352,4751,5135,328,556,469,2391,1164,974,2267,1554,660,3204,7257,4342,1273,5553,3006,3780,2440,4408,629,1658,1602,1158,2312,1885,4523,1250,5297,4964,975,7331,7708,6683,4298,4546,363,502,414,2318
940,782,2153,1767,281,3224,5003,3211,1418,4804,2622,3063,1610,3370,693,1367,1690,708,1336,1383,4163,1252,4718,4076,772,5543,7452,7153,3605,3550,237,476,413,2489,815,602,1986,1772,430,3343,6145,3082,1247,4603,2344,3282,1845,3274,691,1296,1277,813,1430,1372,4301,1274,4880,4422,555,6876,7374,5887,3238,3590,264,505,236,2526
1450,564,2549,1774,481,3170,4885,3469,974,5404,2976,3114,1856,3305,686,1376,1959,758,1459,1452,4221,1015,4709,3733,1017,4929,7643,5420,4350,3982,235,448,379,2535,984,791,2446,1639,414,3225,5701,4355,1176,4514,2581,3871,2004,3913,648,1262,1304,872,1422,1546,4067,1364,4937,4313,617,5574,7275,5429,3675,3868,270,563,358,2205
1769,552,2555,1360,392,3342,6036,3794,1113,5709,2639,3598,1669,3771,722,1548,1701,696,1411,1439,4640,1430,5206,3731,795,6191,8408,5769,4625,5276,249,473,551,2496,1103,579,2006,1701,388,3410,6498,4255,954,5495,2454,3234,1773,4386,717,1811,1483,960,1872,1441,4655,1345,4838,4198,569,6835,7421,6150,4429,5231,247,530,456,2522
1191,1395,3314,1685,562,3395,5826,3702,1130,5921,3391,3699,2395,3805,849,1739,1693,845,1340,1438,5011,1776,6733,4519,1379,7291,8627,6168,4704,4170,287,567,541,2466,1108,1025,3281,2026,533,3378,6273,4356,977,5736,3233,3644,2249,4446,546,2130,1315,1012,1646,1778,5196,1874,6047,4816,922,7679,9325,5403,4227,4671,302,571,340,2644
1099,985,2858,1661,445,3572,5921,4198,1234,5714,3046,3956,2232,4117,774,1452,1661,715,1413,1584,4596,1524,5341,4696,1122,6741,7940,7196,4166,4864,326,514,476,2990,1038,783,2248,1921,387,3517,7519,3649,1003,7162,3161,3674,2197,4004,719,1607,1524,798,1762,1940,4534,1148,5611,4691,829,6859,7240,6585,4035,4148,347,499,361,2518
989,577,2458,1676,521,2783,4428,3426,932,5086,2531,2876,1721,3327,625,1570,1705,694,1546,1361,4497,1114,5087,3863,776,5782,8097,5333,4140,3870,301,409,437,2573,938,923,2224,1845,370,3083,5441,3004,852,5518,2336,3340,1860,3471,590,1711,1515,888,1508,1599,4124,1334,4961,4408,611,5137,6992,6225,3860,3238,325,372,330,2281
1173,708,2189,1978,439,3772,6437,4392,1395,6323,3070,4321,1969,4318,684,1731,1858,756,1538,2120,4846,1374,6059,5019,941,6737,7988,6431,4871,5084,249,498,493,3066,1127,1153,2818,2282,388,3865,6887,4136,952,6233,3486,4503,2280,4265,798,2462,2050,963,1800,2256,3891,1539,4836,3675,889,10622,9444,4719,4105,3179,304,464,363,3107
1054,709,2335,1582,373,2964,4312,3589,1157,4187,2676,2365,1628,3217,671,1447,1736,613,1519,1312,3636,1389,4721,3768,823,5692,7316,5533,4008,4614,228,526,470,2316,958,717,2436,1308,296,2881,5705,3394,1047,4427,3087,2723,2195,3615,606,1515,1393,763,1572,1333,3762,1389,4632,4244,615,5917,7232,5548,3690,3807,243,500,340,2151
1044,893,2829,1554,332,3661,5515,3803,1046,5465,2917,3398,1998,4342,766,1496,2391,691,1616,1661,4579,1538,5508,4514,952,6464,7800,6897,5180,4888,251,468,589,3082,743,659,1805,1922,369,3479,6386,4368,845,6881,2747,3903,2020,4573,679,1442,1838,897,2200,1785,4636,1059,5839,4985,693,7310,7198,6801,4422,4100,296,407,411,2825
1050,573,2480,1479,525,3885,5241,3812,1168,5514,2874,3118,1966,3624,840,1059,1892,765,1491,1449,4597,1111,5390,4373,650,5791,7394,7150,4879,5118,282,512,433,2751,1005,617,2347,1573,429,4035,5988,3722,1037,4738,2654,3193,1673,3875,783,1332,1840,890,1986,1317,4663,1000,5285,4956,597,5827,6881,6656,4315,4336,334,447,374,2782
1281,788,3409,1814,432,3999,6868,4524,1484,6343,2856,3112,2193,4075,867,1315,2665,719,1633,1256,4280,1595,7164,5372,1013,6517,10926,5307,4725,4328,273,532,514,3013,1098,995,2764,2451,368,3860,4760,4725,1013,6010,2902,3681,2147,4986,819,1572,2250,897,2335,1972,4036,1439,5060,5830,828,9346,11275,5641,4862,2911,385,617,464,3138
1101,557,3219,1753,458,3300,4752,3688,1191,5872,3091,3856,2144,3419,682,1675,1786,762,1733,1550,4423,1328,5482,4749,926,6882,8276,6206,4382,5155,233,506,504,2458,946,962,2952,1863,459,3625,6312,3371,1126,5854,3283,3959,2169,3908,736,1598,1810,1062,1987,1740,4343,1420,5620,5028,797,6337,7659,6426,4329,3729,345,520,419,2441
1040,558,2225,1613,504,3126,4355,3105,984,4497,2647,2979,1728,3034,547,1625,1755,697,1442,1393,4058,1075,4470,3517,764,5825,7305,5336,4029,4545,221,447,432,2380,993,785,2047,1560,450,3148,5437,3325,817,5263,2844,3163,1859,3260,559,1389,1557,783,1970,1517,3582,1270,4779,3526,557,5465,5764,6003,3470,3793,261,445,384,2282
1147,637,2179,1761,458,3144,5095,3944,1263,4402,3200,3327,1964,3498,731,1508,1801,704,1237,1720,4436,1344,5019,3797,766,6090,7515,5189,4194,4390,305,517,479,2574,1057,629,2324,1517,389,3281,5351,3465,999,5020,3211,3435,1928,3930,551,1660,1358,757,1329,1767,4804,1158,5623,4061,700,5513,7748,5460,4056,4889,363,448,371,2337
1055,636,2121,1258,378,3274,4500,3801,926,4435,2762,2790,1787,3944,628,1298,1882,677,1459,1223,4624,1281,4672,4104,950,6393,7926,5834,4280,4619,327,366,478,2096,990,1019,2257,1581,397,3303,5543,3661,803,4652,2603,3334,1965,4037,608,1539,1257,901,1605,1515,4469,1446,5013,4679,699,6427,6863,5529,3820,4260,324,400,365,2155
1029,577,2243,1675,392,3094,4345,2836,1123,4839,2521,3137,1632,2996,593,1435,1891,663,1510,1526,3829,1301,4549,3907,778,5223,7003,6032,3809,4248,261,395,387,2409,861,604,1833,1543,421,3285,5085,2893,978,5945,2806,3140,1917,3229,593,1346,1370,829,1378,1349,4245,1264,4695,4261,470,5073,7122,5699,3380,3117,295,374,295,2103
987,763,2625,1638,614,3437,5247,3482,1271,5618,2812,4006,1826,3165,716,1450,1785,698,1378,1931,4293,1379,4735,4457,926,5887,7686,6060,3660,4210,248,510,343,2346,1044,873,2669,1822,533,3093,6296,3237,1161,6042,2551,3918,1732,3585,694,1555,1364,766,1448,2090,5351,1285,5674,4482,588,5847,7261,5214,3933,3416,298,457,316,2335
984,617,2414,1494,528,3123,4029,2931,1169,5667,2865,3094,2020,2825,590,1545,1849,668,1437,1159,4388,1405,5285,4091,828,5410,7600,5946,4105,4238,269,444,459,2257,1213,680,2043,1340,418,2817,5940,2992,1035,5012,2643,3292,1890,3416,716,1760,1450,947,1333,1215,4132,1316,4827,4714,599,6238,7631,6025,4126,3765,320,464,377,2493
1291,770,2507,1821,629,3620,5604,3998,1288,5741,3005,3810,2690,3674,726,1500,1825,733,1397,1967,4573,1672,5311,5257,1020,7441,8337,6833,3933,3996,313,526,435,2402,1233,875,2690,1989,467,3633,5479,3383,1311,7093,3222,4321,2076,3871,677,1751,1663,980,1843,2207,4456,1560,5411,5411,737,6824,8252,6358,4237,4964,346,472,315,2266
1029,727,2903,1861,324,3479,5412,3935,1336,6003,2785,3811,1956,3904,725,1625,2016,623,1499,1429,4807,1389,5801,4872,888,6168,8195,6491,4555,4601,301,400,478,2929,948,813,2337,1928,309,3391,6050,3953,1248,5525,2412,4011,1865,3890,677,1715,1893,805,1974,1951,4878,1650,5341,5127,734,6218,7714,5907,4478,3767,315,419,426,2987
1082,767,2531,1463,450,3246,5064,3437,1185,5809,2371,2950,1633,3267,595,1577,1439,722,1299,1061,4468,1381,5237,4004,890,5853,7342,6717,3929,4479,234,425,548,2211,1006,622,2407,1530,391,3148,6175,3421,1047,6184,2422,2874,1928,3781,629,1628,1347,713,1136,1250,4122,1277,5335,4078,542,5681,7539,6612,3690,3840,278,458,406,1983
993,718,2382,1294,546,3622,5564,4766,1052,6456,3238,3231,2029,3959,594,1439,1566,783,1330,1541,5198,1099,5324,4780,1237,6092,7147,6826,4437,5732,359,510,509,2739,1151,688,1916,1681,502,3568,5963,4068,789,6225,2777,3104,2586,4645,559,1816,1355,765,2282,1524,4144,1016,4817,3718,762,8045,10172,5514,4170,2639,360,548,390,2983
1238,828,2795,1646,482,3820,6643,3611,1035,5561,2696,2858,2095,3224,774,1695,1662,625,1465,1272,4871,1502,6096,4957,961,6184,8825,7776,4901,5058,289,492,589,3131,1099,598,2897,2037,496,3696,7158,3239,898,5896,2514,3368,1958,3376,783,1895,1395,871,1439,1653,4787,1349,6145,5270,831,6289,8081,7755,4649,5582,341,568,415,3508
1574,645,2441,1540,333,2974,5809,3162,1169,5071,2073,2931,1645,3854,746,1401,1501,664,1115,1242,4656,1506,5509,3613,768,4995,7517,5359,4025,6455,270,427,372,2133,978,782,1628,1545,400,3753,6103,3835,843,5646,2288,2721,1683,4045,644,1564,1338,912,2107,1348,4077,1463,5202,3753,611,6950,9421,4176,3457,2821,424,389,297,2261
975,601,2196,1212,520,3396,4430,3619,1306,5402,2848,2735,1793,2865,672,1287,1634,860,1828,1125,4028,1291,4564,3792,730,6852,7624,5055,3884,4038,252,445,507,2839,1042,685,2243,1411,479,3367,5247,3362,1035,5422,3060,2959,2134,3282,592,1405,1411,1024,1580,1452,3881,1490,5544,4137,499,6803,7380,4895,3817,3044,230,523,359,2382
890,454,2017,1531,487,3118,4000,3134,1081,5727,2939,3547,1942,3055,704,1711,1523,899,1465,1587,4269,1339,5194,5316,975,6002,8023,7118,4015,4651,244,427,408,2333,828,611,2166,1697,417,3022,5248,3312,993,6176,2595,4017,2071,3358,592,2024,1432,869,1739,1895,4773,1231,5369,5479,614,5038,7782,6381,3644,3929,304,485,401,2563
1171,623,2426,1516,470,3683,5310,4133,922,5524,2888,2742,1770,3186,695,1495,1783,766,1128,1317,3943,1166,4645,4113,845,6323,7508,5695,3701,4904,237,496,422,2339,1007,809,2399,1409,458,3202,6705,3475,853,4577,2637,3471,2004,3596,595,1629,1366,840,1404,1516,4003,1311,4817,4135,539,5868,7651,6608,3835,4418,328,479,394,2447
1116,763,1974,1267,419,2893,5648,3189,976,5173,2597,3074,1923,2757,653,1428,1964,639,1177,1230,4274,1508,4515,3644,888,4523,6075,5088,3485,3582,207,388,378,2363,875,926,2693,1317,381,2748,4884,3110,899,5259,2283,3060,1999,3501,633,1391,1425,702,1624,1476,3057,1411,5025,3515,738,5607,7896,4114,3452,2877,296,541,284,2479
1227,611,2260,1697,598,3528,4497,2950,1516,5014,3256,3309,2092,3192,623,1559,1861,801,1468,1593,4463,1523,5076,4299,911,7310,8589,6598,4866,6622,296,599,530,2900,942,728,1991,1853,425,3183,5408,3488,1258,6359,2889,4218,2147,3991,648,1589,1707,897,2168,2010,4356,1625,5038,5306,718,6267,7631,6653,4602,5031,324,469,396,2989
1167,574,3043,1404,342,3235,5214,3479,1175,4783,2570,2945,1745,3526,771,1537,1784,766,1237,1398,3942,1257,4844,4381,764,7206,7967,5084,4410,5157,225,451,524,2508,1040,809,2288,1760,438,3459,6409,3297,1062,4524,2568,3289,1954,3571,671,1449,1476,830,1545,1713,3952,1288,4987,4567,655,7188,7233,5374,4121,4069,288,476,411,2570
923,609,2736,2048,420,3405,4892,3754,1665,5128,2894,3600,1813,3409,684,1451,1879,774,1455,1914,4484,1286,5592,4715,730,6037,8305,7673,4424,6466,291,597,556,2711,1134,826,1881,2255,495,3185,5961,2977,1575,6035,2505,3724,1852,3208,689,1487,1888,721,1798,2287,4659,1349,5972,5193,589,5002,7401,6883,4736,4756,333,544,441,3080
1407,867,2215,1594,455,3380,5002,3424,1269,4481,3020,3034,1960,3320,647,1470,2191,724,1695,1351,4448,1407,5239,4523,730,6166,7419,8306,4488,5227,286,532,546,2381,1031,764,2191,1667,336,3550,6686,3214,1019,4846,2753,2961,2009,3560,681,1514,1427,942,1592,1565,4539,1243,5102,4666,685,6458,7321,7657,4415,5307,274,513,378,2333
881,490,1495,1395,319,2578,3889,2621,1086,4690,2160,2595,1318,2835,649,1368,1313,621,1064,1424,4021,1140,4068,4336,642,3876,5848,5037,3805,4270,242,391,462,2687,838,432,1552,1601,293,2629,5235,2485,926,5054,2104,2990,1725,3469,600,1663,1218,625,1289,1757,3412,1104,4434,4435,394,4072,5176,5060,3682,3671,238,382,329,2501
897,865,2227,1518,461,2985,4146,4200,906,5649,2774,2856,1714,3689,576,1365,1722,669,1477,1173,3961,1350,5290,3353,1027,6121,8685,5612,3794,4254,267,459,339,2405,836,897,2086,1577,450,3346,5557,3837,947,5502,2298,2645,1937,3686,642,1735,1525,898,1469,1521,4250,1350,6207,3552,694,5363,8447,5025,3806,3704,364,354,344,2849
1146,897,2880,1925,475,3814,5096,4243,1165,6164,3425,2938,2299,3951,771,1581,2076,887,1828,1724,4340,1177,5122,4981,1386,8747,8909,6038,4667,5194,302,512,440,2664,1119,893,2632,1960,563,3715,6152,4153,876,6083,3017,3420,2437,4393,575,1780,1709,1159,2007,1875,4468,1482,5445,4298,826,8052,8816,6102,4359,4489,354,525,367,2857
1099,612,2509,1852,670,3723,5298,4315,1331,6476,2844,3614,1904,3524,836,1562,2205,667,1521,1513,5021,1446,5895,4518,847,7141,8518,5306,4364,4761,234,482,600,2918,1129,909,2616,1907,582,3514,6026,3522,1209,6467,2607,3879,1900,4064,830,1917,1617,812,1419,1575,4744,1821,6245,4175,625,6154,8586,5788,4734,4698,286,449,389,2609
1178,510,2254,1370,485,3262,4768,4188,1229,4623,3037,3579,1859,3612,728,1437,1721,697,1369,1387,4510,1259,5302,4260,990,4793,7271,5014,4159,4686,253,442,521,2787,840,694,2138,1623,541,4140,4529,4037,963,4964,2940,3701,2093,4170,785,1700,1431,851,1562,1527,4473,1237,5728,4272,636,4843,6442,5493,3679,4361,288,518,360,2600
